Distance_(inches),Gray_Value
7.87500,22.135
7.88889,24.369
7.90278,21.710
7.91667,19.943
7.93056,22.619
7.94445,20.903
7.95834,16.459
7.97223,16.799
7.98611,20.529
8.00000,19.837
8.01389,23.331
8.02778,24.848
8.04167,24.256
8.05556,23.559
8.06945,20.677
8.08334,20.474
8.09723,17.260
8.11111,18.810
8.12500,19.039
8.13889,19.606
8.15278,19.781
8.16667,16.776
8.18056,15.491
8.19445,16.044
8.20834,14.982
8.22223,15.328
8.23612,16.014
8.25000,17.316
8.26389,18.862
8.27778,21.051
8.29167,19.405
8.30556,16.318
8.31945,17.425
8.33334,17.529
8.34723,17.380
8.36112,15.792
8.37500,16.326
8.38889,15.785
8.40278,13.838
8.41667,13.665
8.43056,12.839
8.44445,12.936
8.45834,12.176
8.47223,9.971
8.48612,6.858
8.50000,3.817
8.51389,1.684
8.52778,0.590
8.54167,0.162
8.55556,0.000
8.56945,0.000
8.58334,0.000
8.59723,0.000
8.61112,0.000
8.62500,0.000
8.63889,0.000
8.65278,0.000
8.66667,0.000
8.68056,0.000
8.69445,0.000
8.70834,0.000
8.72223,0.000
8.73612,0.000
8.75000,0.000
8.76389,0.000
8.77778,0.000
8.79167,0.000
8.80556,0.000
8.81945,0.000
8.83334,0.000
8.84723,0.000
8.86112,0.000
8.87500,0.000
8.88889,0.000
8.90278,0.000
8.91667,0.000
8.93056,0.000
8.94445,0.000
8.95834,0.000
8.97223,0.000
8.98612,0.000
9.00000,0.000
9.01389,0.000
9.02778,0.000
9.04167,0.000
9.05556,0.000
9.06945,0.000
9.08334,0.000
9.09723,0.000
9.11112,0.000
9.12500,0.000
9.13889,0.000
9.15278,0.000
9.16667,0.000
9.18056,0.000
9.19445,0.000
9.20834,0.000
